[01-Aug-2020 14:00:58 UTC] PHP Parse error:  syntax error, unexpected 'add_action' (T_STRING), expecting '(' in C:\Users\Shaun\Local Sites\omnifood\app\public\wp-content\themes\omnifood-theme\functions.php on line 5
[01-Aug-2020 14:02:58 UTC] PHP Parse error:  syntax error, unexpected 'charset' (T_STRING) in C:\Users\Shaun\Local Sites\omnifood\app\public\wp-content\themes\omnifood-theme\functions.php on line 9
[01-Aug-2020 14:04:59 UTC] PHP Parse error:  syntax error, unexpected 'charset' (T_STRING) in C:\Users\Shaun\Local Sites\omnifood\app\public\wp-content\themes\omnifood-theme\functions.php on line 9
[01-Aug-2020 14:05:11 UTC] PHP Parse error:  syntax error, unexpected 'charset' (T_STRING) in C:\Users\Shaun\Local Sites\omnifood\app\public\wp-content\themes\omnifood-theme\functions.php on line 9
[01-Aug-2020 14:05:14 UTC] PHP Parse error:  syntax error, unexpected 'charset' (T_STRING) in C:\Users\Shaun\Local Sites\omnifood\app\public\wp-content\themes\omnifood-theme\functions.php on line 9
[01-Aug-2020 14:05:30 UTC] PHP Parse error:  syntax error, unexpected 'charset' (T_STRING) in C:\Users\Shaun\Local Sites\omnifood\app\public\wp-content\themes\omnifood-theme\functions.php on line 9
[01-Aug-2020 14:10:50 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\Shaun\Local Sites\omnifood\app\public\wp-content\themes\omnifood-theme\functions.php on line 9
[01-Aug-2020 14:12:51 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\Shaun\Local Sites\omnifood\app\public\wp-content\themes\omnifood-theme\functions.php on line 10
[01-Aug-2020 14:14:52 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\Shaun\Local Sites\omnifood\app\public\wp-content\themes\omnifood-theme\functions.php on line 11
[01-Aug-2020 14:16:53 UTC] PHP Parse error:  syntax error, unexpected ';', expecting ')' in C:\Users\Shaun\Local Sites\omnifood\app\public\wp-content\themes\omnifood-theme\functions.php on line 4
[01-Aug-2020 14:18:54 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\Shaun\Local Sites\omnifood\app\public\wp-content\themes\omnifood-theme\functions.php on line 13
[01-Aug-2020 18:33:06 UTC] PHP Warning:  Use of undefined constant index - assumed 'index' (this will throw an Error in a future version of PHP) in C:\Users\Shaun\Local Sites\omnifood\app\public\wp-content\themes\omnifood-theme\index.php on line 3
[01-Aug-2020 18:33:06 UTC] PHP Stack trace:
[01-Aug-2020 18:33:06 UTC] PHP   1. {main}() C:\Users\Shaun\Local Sites\omnifood\app\public\index.php:0
[01-Aug-2020 18:33:06 UTC] PHP   2. require() C:\Users\Shaun\Local Sites\omnifood\app\public\index.php:17
[01-Aug-2020 18:33:06 UTC] PHP   3. require_once() C:\Users\Shaun\Local Sites\omnifood\app\public\wp-blog-header.php:19
[01-Aug-2020 18:33:06 UTC] PHP   4. include() C:\Users\Shaun\Local Sites\omnifood\app\public\wp-includes\template-loader.php:106
[01-Aug-2020 20:11:07 UTC] PHP Parse error:  syntax error, unexpected '");' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in C:\Users\Shaun\Local Sites\omnifood\app\public\wp-content\themes\omnifood-theme\functions.php on line 12
[01-Aug-2020 20:11:28 UTC] PHP Parse error:  syntax error, unexpected '");' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in C:\Users\Shaun\Local Sites\omnifood\app\public\wp-content\themes\omnifood-theme\functions.php on line 12
